name,date,type,isFullDay,hoursIfPartial
Tamil Thai Pongal Day,2027-01-15,public,true,
Duruthu Full Moon Poya Day,2027-01-22,public,true,
Independence Day,2027-02-04,public,true,
Navam Full Moon Poya Day,2027-02-20,public,true,
Maha Shivarathri Day,2027-03-06,public,true,
Id Ul-Fitr (Ramazan Festival Day),2027-03-10,public,true,
Medin Full Moon Poya Day,2027-03-22,public,true,
Good Friday,2027-03-26,public,true,
Day prior to Sinhala & Tamil New Year Day,2027-04-13,public,true,
Sinhala & Tamil New Year Day,2027-04-14,public,true,
Bak Full Moon Poya Day,2027-04-20,public,true,
May Day,2027-05-01,public,true,
Id Ul-Alha (Hadji Festival Day),2027-05-17,public,true,
Vesak Full Moon Poya Day,2027-05-19,public,true,
Day following Vesak Full Moon Poya Day,2027-05-20,public,true,
Poson Full Moon Poya Day,2027-06-18,public,true,
Esala Full Moon Poya Day,2027-07-18,public,true,
Milad un-Nabi (Holy Prophet's Birthday),2027-08-15,public,true,
Nikini Full Moon Poya Day,2027-08-16,public,true,
Binara Full Moon Poya Day,2027-09-15,public,true,
Vap Full Moon Poya Day,2027-10-15,public,true,
Deepavali Festival Day,2027-10-28,public,true,
Il Full Moon Poya Day,2027-11-13,public,true,
Unduvap Full Moon Poya Day,2027-12-13,public,true,
Christmas Day,2027-12-25,public,true,
